,p_nom,carrier,bus,efficiency,capital_cost,marginal_cost,build_year,lifetime
PLTD_Bora,1.078,Oil,9,0.25,1.2,3,1997,25
PLTD_Bundar,0.12,Oil,21,0.25,1.2,3,1997,25
PLTD_Buntok,4.01,Oil,21,0.25,1.2,3,2004,25
PLTD_Bunut,0.57,Oil,10,0.25,1.2,3,1986,25
PLTD_Bunyu,1,Oil,60,0.25,1.2,3,2000,25
PLTD_CDE_Karang_Joang_(MFO),30,Oil,45,0.25,1.2,3,2010,25
PLTD_Cempaka_Putih,0.28,Oil,10,0.25,1.2,3,1996,25
PLTD_Cogindo_(MFO),40,Oil,46,0.25,1.2,3,2009,25
PLTD_Damparan,0.44,Oil,21,0.25,1.2,3,1994,25
PLTD_Datah_Bilang,0.54,Oil,44,0.25,1.2,3,1992,25
PLTD_Derawan,1.27,Oil,59,0.25,1.2,3,1983,25
PLTD_Dilang_Putih,0.22,Oil,44,0.25,1.2,3,1994,25
PLTD_Dusun_Besar,1.196,Oil,8,0.25,1.2,3,1982,25
PLTD_Embaloh,0.601,Oil,10,0.25,1.2,3,1995,25
PLTD_Gemar_Baru,0.48,Oil,59,0.25,1.2,3,1996,25
PLTD_Gemar_Baru_Pemkab,0.2,Oil,59,0.25,1.2,3,1996,25
PLTD_Geronggang,1.85,Oil,35,0.25,1.2,3,1996,25
PLTD_Gn._Batu_Besar,0.51,Oil,22,0.25,1.2,3,1993,25
PLTD_Gunung_Malang,20.08,Oil,47,0.25,1.2,3,1978,25
PLTD_Gunung_Purei_Unit_123,0.38,Oil,38,0.25,1.2,3,2021,25
PLTD_Gunung_Sari,0.57,Oil,62,0.25,1.2,3,1994,25
PLTD_Jantur,0.724,Oil,51,0.25,1.2,3,1994,25
PLTD_Jasa,0.306,Oil,10,0.25,1.2,3,2015,25
PLTD_Jenebora/Gresik,0.76,Oil,43,0.25,1.2,3,2000,25
PLTD_Jongkong,1.39,Oil,10,0.25,1.2,3,1987,25
PLTD_Kahayan/Area_Palangka_Raya,17.45,Oil,17,0.25,1.2,3,1986,25
PLTD_Kalan,0.17,Oil,9,0.25,1.2,3,1998,25
PLTD_Kandui,1.13,Oil,36,0.25,1.2,3,1984,25
PLTD_Kantuk,0.14,Oil,10,0.25,1.2,3,1987,25
PLTD_Karang_Asam,40,Oil,50,0.25,1.2,3,1978,25
PLTD_Karangan,1,Oil,59,0.25,1.2,3,1992,25
PLTD_Kartamulia_Sukamara_Mitsubishi_Unit_78,2.66,Oil,13,0.25,1.2,3,2021,25
PLTD_Kayan,0.337,Oil,9,0.25,1.2,3,1993,25
PLTD_Kayan_Hulu,1.275,Oil,63,0.25,1.2,3,2010,25
PLTD_Kelumpang,0.12,Oil,53,0.25,1.2,3,1994,25
PLTD_Kemangai,0.216,Oil,10,0.25,1.2,3,1988,25
PLTD_Kenambui,0.12,Oil,13,0.25,1.2,3,1994,25
PLTD_Kendawangan_Kanan,0.823,Oil,9,0.25,1.2,3,1996,25
PLTD_Kerang,0.96,Oil,40,0.25,1.2,3,1982,25
PLTD_Kerasian,0.33,Oil,25,0.25,1.2,3,2004,25
PLTD_Kerayaan,0.61,Oil,25,0.25,1.2,3,2017,25
PLTD_Kerumputan,0.46,Oil,25,0.25,1.2,3,2017,25
PLTD_Ketungau,0.213,Oil,10,0.25,1.2,3,1993,25
PLTD_Kledang,40.03,Oil,50,0.25,1.2,3,1987,25
PLTD_Kota_Baru,0.331,Oil,9,0.25,1.2,3,1997,25
PLTD_Kotabaru,15.47,Oil,22,0.25,1.2,3,1980,25
PLTD_Krayan,0.8,Oil,61,0.25,1.2,3,2015,25
PLTD_KTT,3.81,Oil,61,0.25,1.2,3,2009,25
PLTD_KTT_Pemkab,3.68,Oil,61,0.25,1.2,3,2009,25
PLTD_Kuala_Buayan,1.574,Oil,9,0.25,1.2,3,1993,25
PLTD_Kuala_Jelai,0.92,Oil,13,0.25,1.2,3,1983,25
PLTD_Kuala_Kapuas,6,Oil,21,0.25,1.2,3,1992,25
PLTD_Kuala_Kurun_#01_(MWM),0.22,Oil,16,0.25,1.2,3,1999,25
PLTD_Kuala_Kurun_#02_(DEUTZ_MWM),0.528,Oil,16,0.25,1.2,3,2004,25
PLTD_Kuala_Kurun_#03_MITSUBISHI),1.33,Oil,16,0.25,1.2,3,2018,25
PLTD_Kuala_Kurun_#04_MITSUBISHI),1.33,Oil,16,0.25,1.2,3,2018,25
PLTD_Kuala_Kurun_#05_MITSUBISHI),1.33,Oil,16,0.25,1.2,3,2018,25
PLTD_Kuala_Kurun_Unit_2-3,2.66,Oil,16,0.25,1.2,3,2021,25
PLTD_Kuala_Kurun_Unit_4,1.33,Oil,16,0.25,1.2,3,2021,25
PLTD_Kuala_Pembuang_#01_(MWM),0.22,Oil,14,0.25,1.2,3,1991,25
PLTD_Kuala_Pembuang_#02_(DEUTZ_MWM),0.528,Oil,14,0.25,1.2,3,2005,25
PLTD_Kuala_Pembuang_#03_(DEUTZ_MWM),0.528,Oil,14,0.25,1.2,3,2008,25
PLTD_Kuala_Pembuang_#04_(DEUTZ_MWM),0.528,Oil,14,0.25,1.2,3,2008,25
PLTD_Kuala_Pembuang_#05_(MITSUBISHI),1.33,Oil,14,0.25,1.2,3,2018,25
PLTD_Kuala_Pembuang_#06_(MITSUBISIH),1.33,Oil,14,0.25,1.2,3,2018,25
PLTD_Kuala_Pembuang_#07_(MITSUBISHI),1.33,Oil,14,0.25,1.2,3,2018,25
PLTD_Kuala_Pembuang_#08_(MITSUBISHI),1.33,Oil,14,0.25,1.2,3,2018,25
PLTD_Kuala_Pembuang_Unit_7,1.33,Oil,14,0.25,1.2,3,2020,25
PLTD_Kuala_Pembuang_Unit_9,1,Oil,14,0.25,1.2,3,2021,25
PLTD_Kudangan,0.29,Oil,13,0.25,1.2,3,1994,25
PLTD_Kumai,11,Oil,13,0.25,1.2,3,2004,25
PLTD_Lanjak,0.66,Oil,10,0.25,1.2,3,2005,25
PLTD_Lemukutan,0.412,Oil,4,0.25,1.2,3,2001,25
PLTD_Long_Apari,0.64,Oil,39,0.25,1.2,3,2015,25
PLTD_Long_Bagun,0.3,Oil,44,0.25,1.2,3,1997,25
PLTD_Long_Bagun_Pemkab,0.52,Oil,44,0.25,1.2,3,2015,25
PLTD_Long_Beluah,0.5,Oil,63,0.25,1.2,3,1994,25
PLTD_Long_Iram,1.44,Oil,45,0.25,1.2,3,2001,25
PLTD_Long_Iram_Pemkab,0.5,Oil,45,0.25,1.2,3,2001,25
PLTD_Long_Pahangai,0.6,Oil,39,0.25,1.2,3,2015,25
PLTD_Long_Peso,0.443,Oil,60,0.25,1.2,3,1992,25
PLTD_Long_Segar,0.44,Oil,44,0.25,1.2,3,1998,25
PLTD_Lontar,2.62,Oil,26,0.25,1.2,3,1991,25
PLTD_Lumbis_Ogong,0.5,Oil,61,0.25,1.2,3,2016,25
PLTD_Luwe_Hulu,0.48,Oil,37,0.25,1.2,3,1987,25
PLTD_Maburai,1.88,Oil,35,0.25,1.2,3,1996,25
