name,bus,p_nom,carrier,efficiency,capital_cost,marginal_cost,build_year,lifetime,,,lifetime,capex,effiency
PLTD_Pulau_Limbung,9,0.44,Oil,0.25,1.2,3,1997,25,,,,,
PLTD_Pulau_Majang,9,0.156,Oil,0.25,1.2,3,1999,25,,,,,
PLTD_Puruk_Cahu,21,2.19,Oil,0.25,1.2,3,2000,25,,,,,
PLTD_Rangga_Ilung,21,0.5,Oil,0.25,1.2,3,1982,25,,,,,
PLTD_Rantau_Pulut,14,0.96,Oil,0.25,1.2,3,1986,25,,,,,
PLTD_Rayon_Nanga_Bulik,13,10.848,Oil,0.25,1.2,3,1998,25,,,,,
PLTD_Rayon_Sampit,17,3.88,Oil,0.25,1.2,3,1982,25,,,,,
PLTD_Sabuh,37,0.22,Oil,0.25,1.2,3,1996,25,,,,,
PLTD_Samabliung_Kaltimex,59,3,Oil,0.25,1.2,3,1996,25,,,,,
PLTD_Sambaliung,59,15.918,Oil,0.25,1.2,3,1996,25,,,,,
PLTD_Sambas,0,4.095,Oil,0.25,1.2,3,1977,25,,,,,
PLTD_Sampanahan,35,1.77,Oil,0.25,1.2,3,1985,25,,,,,
PLTD_Sampurna,9,0.236,Oil,0.25,1.2,3,1999,25,,,,,
PLTD_Sandai,9,1.438,Oil,0.25,1.2,3,2001,25,,,,,
PLTD_Sangkulirang,59,3,Oil,0.25,1.2,3,1996,25,,,,,
PLTD_Sangkulirang_Pemkab,59,0.8,Oil,0.25,1.2,3,2015,25,,,,,
PLTD_Sawai,10,12.485,Oil,0.25,1.2,3,,25,,,,,
PLTD_Sebangau,17,0.44,Oil,0.25,1.2,3,1993,25,,,,,
PLTD_Sebatik,61,6.712,Oil,0.25,1.2,3,1983,25,,,,,
PLTD_Seberuang,9,0.162,Oil,0.25,1.2,3,1993,25,,,,,
PLTD_Sebuku,61,0.695,Oil,0.25,1.2,3,2016,25,,,,,
PLTD_Sedulang,44,0.44,Oil,0.25,1.2,3,1981,25,,,,,
PLTD_Sei_Bali,25,1.67,Oil,0.25,1.2,3,1990,25,,,,,
PLTD_Sei_Durian,35,1.09,Oil,0.25,1.2,3,1990,25,,,,,
PLTD_Sei_Raya,6,50.4,Oil,0.25,1.2,3,1987,25,,,,,
PLTD_Sei_Wie,1,18.4,Oil,0.25,1.2,3,1986,25,,,,,
PLTD_Seimenggaris,61,0.6,Oil,0.25,1.2,3,2015,25,,,,,
PLTD_Sekadau,9,2.345,Oil,0.25,1.2,3,1997,25,,,,,
