type,node0,lon0,lat0,id,bus0,location0,p_nom,carrier,type1,node1,lon1,lat1,bus1,location1,loc_connection
generator,PLTD_Sukamara_#08_(MITSUBITSI),111.164,-2.717,,,Kalimantan Tengah,1.33,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Sukamara_#09_(MITSUBITSI),111.164,-2.717,,,Kalimantan Tengah,1.33,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Sukamara_#01_(MAN),111.164,-2.717,,,Kalimantan Tengah,0.536,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Sukamara_#02_(MAN),111.164,-2.717,,,Kalimantan Tengah,0.536,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Balai_Riam,111.182,-2.992,,,Kalimantan Tengah,0.54,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Balai_Sepuak,111.206,0.442,,,Kalimantan Barat,0.996,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Kartamulia_Sukamara_Mitsubishi_Unit_78,111.211,-2.685,,,Kalimantan Tengah,2.66,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Belitang,111.24,0.131,,,Kalimantan Barat,3.3,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Tapin_Bini,111.317,-1.892,,,Kalimantan Tengah,11.65,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTU_Sintang_#01,111.434,0.074,,,Kalimantan Barat,9,Coal,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTU_Sintang_#02,111.434,0.074,,,Kalimantan Barat,9,Coal,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTU_Sintang_#03,111.434,0.074,,,Kalimantan Barat,9,Coal,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Rayon_Nanga_Bulik,111.469,-2.187,,,Kalimantan Tengah,10.848,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Simpang_Sepaku_Mitsubishi_Unit_9,111.502,-2.209,,,Kalimantan Tengah,1.33,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Simpang_Sepaku_Mitsubishi_Unit_56,111.503,-2.209,,,Kalimantan Tengah,2.66,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Menyurai,111.511,0.086,,,Kalimantan Barat,12.21,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Nanga_Merakai,111.517,0.688,,,Kalimantan Barat,0.6,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Kota_Baru,111.542,-0.8,,,Kalimantan Barat,0.331,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Ketungau,111.62,0.357,,,Kalimantan Barat,0.213,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Nanga_Lebang,111.644,0.218,,,Kalimantan Barat,0.218,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Nanga_Sayan,111.676,-0.714,,,Kalimantan Barat,1.029,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Kayan,111.69,-0.172,,,Kalimantan Barat,0.337,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Mentobi_Raya,111.694,-1.986,,,Kalimantan Tengah,1.7,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTU_Pangkalan_Bun_(PT._Eksploitasi_Energi_Indonesia),111.703,-2.771,,,Kalimantan Tengah,14,Coal,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Sidomulyo_Pinoh,111.707,-0.342,,,Kalimantan Barat,0.576,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Kumai,111.728,-2.725,,,Kalimantan Tengah,11,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Pangkalan_Bun,111.731,-2.73,,,Kalimantan Tengah,7.12,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Sewa_PGL_Pangkalan_Bun,111.731,-2.73,,,Kalimantan Tengah,4,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Sewa_Kaltimex_Pangkalan_Bun,111.731,-2.73,,,Kalimantan Tengah,14,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Kalan,111.741,-0.336,,,Kalimantan Barat,0.17,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Bora,111.764,-0.628,,,Kalimantan Barat,1.078,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
