type,node0,lon0,lat0,bus0,p_nom,carrier,voltage,type1,node1,lon1,lat1,bus1
generator,PLTD_Kalan,111.741,-0.336,,0.17,Oil,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTD_Bora,111.764,-0.628,,1.078,Oil,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTMH_Bora,111.775,-0.633,,0.2,Run_of_River,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTD_Nanga_Silat,111.788,0.343,,0.748,Oil,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTD_Kenambui,111.792,-2.476,,0.12,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Sewa_UPM_Pangkalan_Banteng,111.824,-2.607,,2.5,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTBm_Korintiga_Hutani,111.824,-2.607,,3,Biomass,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTMH_Serawak_Energi_BHD_Badau_(B),111.872,1.033,,0.32,Run_of_River,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Seberuang,111.888,0.465,,0.162,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Badau,111.903,1.044,,2.085,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Pangkut,111.92,-2.192,,0.8,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Tumbang_Manjul,111.928,-1.301,,0.498,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Semitau,111.96,0.543,,4.748,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTBm_Kotawaringin_Barat,111.967,-2.052,,10,Biomass,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Pulau_Majang,111.994,0.901,,0.156,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Nanga_Ella,112.003,-0.398,,1.445,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_ULD_Tewah,112.122,-1.936,,1.584,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Belikai,112.137,0.33,,0.3,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
generator,PLTD_Nibung,112.178,0.334,,0.08,Oil,,substation,GI_Sampit,112.9207,-2.4816,14
