name,bus,p_nom,carrier,marginal_cost,",name,bus,p_nom,carrier,marginal_cost,",,plant_type,$/MWh
PLTD_Kuala_Kurun_#04_MITSUBISHI),16,1.33,Oil,3,",PLTD_Kuala_Kurun_#04_MITSUBISHI),16,1.33,Oil,3,",,,
PLTD_Kuala_Kurun_#05_MITSUBISHI),16,1.33,Oil,3,",PLTD_Kuala_Kurun_#05_MITSUBISHI),16,1.33,Oil,3,",,,
PLTD_Kuala_Kurun_Unit_2-3,16,2.66,Oil,3,",PLTD_Kuala_Kurun_Unit_2-3,16,2.66,Oil,3,",,,
PLTD_Kuala_Kurun_Unit_4,16,1.33,Oil,3,",PLTD_Kuala_Kurun_Unit_4,16,1.33,Oil,3,",,,
PLTD_Kuala_Kurun_#01_(MWM),16,0.22,Oil,3,",PLTD_Kuala_Kurun_#01_(MWM),16,0.22,Oil,3,",,,
PLTD_Kuala_Kurun_#02_(DEUTZ_MWM),16,0.528,Oil,3,",PLTD_Kuala_Kurun_#02_(DEUTZ_MWM),16,0.528,Oil,3,",,,
PLTD_Kahayan/Area_Palangka_Raya,17,17.45,Oil,3,",PLTD_Kahayan/Area_Palangka_Raya,17,17.45,Oil,3,",,,
PLTD_Sungai_Hanyu,18,0.38,Oil,3,",PLTD_Sungai_Hanyu,18,0.38,Oil,3,",,,
PLTU_Pulang_Pisau_#01,20,60,Coal,0.13,",PLTU_Pulang_Pisau_#01,20,60,Coal,0.13,",,,
PLTU_Pulang_Pisau_#02,20,60,Coal,0.13,",PLTU_Pulang_Pisau_#02,20,60,Coal,0.13,",,,
PLTD_Tumbang_Lahung,19,0.38,Oil,3,",PLTD_Tumbang_Lahung,19,0.38,Oil,3,",,,
PLTD_Pujon,19,0.981,Oil,3,",PLTD_Pujon,19,0.981,Oil,3,",,,
PLTD_Kuala_Kapuas,21,6,Oil,3,",PLTD_Kuala_Kapuas,21,6,Oil,3,",,,
PLTD_Timpah,21,1.108,Oil,3,",PLTD_Timpah,21,1.108,Oil,3,",,,
PLTD_Long_Apari,39,0.64,Oil,3,",PLTD_Long_Apari,39,0.64,Oil,3,",,,
