type,node0,node1,coords0,coords1,lon0,lat0,lon1,lat1,length_m
generator,PLTD_Tepuai,,,,112.303,0.37,,,
generator,PLTD_Seberuang,,,,111.888,0.465,,,
generator,PLTD_Nanga_Erak,,,,113.154,0.372,,,
generator,PLTD_Belikai,,,,112.137,0.33,,,
generator,PLTD_Kantuk,,,,110.607,0.124,,,
generator,PLTD_Piasak,,,,112.723,0.659,,,
generator,PLTD_Nibung,,,,112.178,0.334,,,
generator,PLTD_Ujung_Said,,,,112.378,0.67,,,
generator,PLTD_Pulau_Majang,,,,111.994,0.901,,,
generator,PLTD_Ulak_Pauk,,,,112.491,1.062,,,
generator,PLTD_Badau,,,,111.903,1.044,,,
generator,PLTD_Jasa,,,,111.148,1.004,,,
generator,PLTMH_Serawak_Energi_BHD_Badau_(B),,,,111.872,1.033,,,
generator,PLTMH_Serawak_Energi_BHD_Balai_Karangan_(B),,,,110.355,0.988,,,
generator,PLTD_Sewatama_Semboja,,,,110.56,0.135,,,
generator,PLTD_Aggreko_Semboja,,,,110.56,0.134,,,
generator,PLTD_ENSAS_Sekadau,,,,110.89,0.021,,,
generator,PLTD_Aggreko_Menyurai,,,,111.511,0.085,,,
generator,PLTD_Sewatama_Pinoh,,,,111.707,-0.342,,,
generator,PLTD_Makro_SPE_Pinoh,,,,111.707,-0.342,,,
generator,PLTD_Makro_SPE_Balai_Karanga,,,,110.828,0.435,,,
generator,PLTD_Makro_SPE_Kota_Baru,,,,111.542,0.8,,,
generator,PLTD_Makro_Sintang,,,,111.511,0.085,,,
generator,PLTD_ULD_Benua_Riam,,,,115.226,-3.094,,,
generator,PLTD_ULD_Rantau_Bujur,,,,115.199,-3.082,,,
generator,PLTD_ULD_Tumbang_Jutuh,,,,113.572,-1.289,,,
generator,PLTD_ULD_Tumbang_Talaken,,,,113.378,-1.361,,,
generator,PLTD_ULD_Tewah,,,,112.122,-1.936,,,
generator,PLTD_ULD_Tumbang_Miri,,,,113.55,-0.916,,,
generator,PLTD_ULD_Tumbang_Tambirah,,,,113.823,-1.065,,,
generator,PLTD_ULD_Tumbang_Miwan,,,,113.872,-1.217,,,
generator,PLTD_ULD_Tumbang_Kaman,,,,113.093,-1.346,,,
generator,PLTD_ULD_Tumbang_Hiran,,,,112.691,-1.188,,,
generator,PLTD_ULD_Tumbang_Senamang,,,,112.425,-1.161,,,
generator,PLTD_ULD_Telaga,,,,113.33,-2.421,,,
generator,PLTD_Pagatan,,,,113.33,-3.256,,,
generator,PLTD_Telaga_Pulang,,,,112.27,-2.864,,,
generator,PLTD_Mendawai,,,,113.269,-2.989,,,
generator,PLTD_Pangkut,,,,111.92,-2.192,,,
generator,PLTD_Kenambui,,,,111.792,-2.476,,,
generator,PLTD_Rantau_Pulut,,,,112.186,-2.048,,,
generator,PLTD_Sukamandang,,,,112.186,-2.048,,,
generator,PLTD_Tumbang_Manjul,,,,111.928,-1.301,,,
generator,PLTD_Kuala_Jelai,,,,110.739,-2.985,,,
generator,PLTD_Balai_Riam,,,,111.182,-2.992,,,
generator,PLTD_Mentobi_Raya,,,,111.694,-1.986,,,
generator,PLTD_Kudangan,,,,111.043,-1.61,,,
generator,PLTD_Tapin_Bini,,,,111.317,-1.892,,,
generator,PLTBg_Maju_Aneka_Sawit,,,,112.542,-2.38,,,
generator,PLTBg_Sukajadi_Sawit_Mekar,,,,112.455,-2.399,,,
generator,PLTBg_Unggul_Lestari,,,,112.598,-1.596,,,
generator,PLTD_UPM_Parenggean,,,,112.653,-1.881,,,
generator,PLTBm_Korintiga_Hutani,,,,111.824,-2.607,,,
generator,PLTD_Gn._Batu_Besar,,,,116.294,-2.622,,,
generator,PLTD_Sei_Bali,,,,116.407,-3.408,,,
generator,PLTD_Semaras,,,,116.082,-3.823,,,
generator,PLTD_Lontar,,,,116.064,-3.978,,,
generator,PLTD_Kerasian,,,,116.203,-4.027,,,
generator,PLTD_Tanjung_Seloka,,,,116.306,-3.9,,,
generator,PLTD_Geronggang,,,,116.207,-2.857,,,
generator,PLTD_Tanjung_Batu,,,,116.222,-3.005,,,
generator,PLTD_Sampanahan,,,,116.187,-2.641,,,
generator,PLTD_Sei_Durian,,,,116.162,-2.509,,,
generator,PLTD_Sengayam,,,,115.995,-2.367,,,
generator,PLTD_Marabatuan,,,,115.81,-4.369,,,
generator,PLTD_Tanjung_Samalantakan,,,,116.415,-2.566,,,
generator,PLTD_Bakau,,,,116.196,-2.443,,,
generator,PLTD_Mulyaharja,,,,116.322,-2.35,,,
generator,PLTD_Kerayaan,,,,116.207,-4.091,,,
generator,PLTD_Kerumputan,,,,116.172,-4.049,,,
generator,PLTD_Sewa_Kaltimex_Kotabaru,,,,116.212,-3.254,,,
generator,PLTD_Timpah,,,,114.479,-1.719,,,
generator,PLTD_Sebangau,,,,113.639,-3.148,,,
generator,PLTD_Pujon,,,,114.364,-1.349,,,
generator,PLTD_Sungai_Hanyu,,,,114.016,-0.927,,,
generator,PLTD_Pendang,,,,114.874,-1.506,,,
generator,PLTD_Tanjung_Jawa,,,,114.835,-1.565,,,
generator,PLTD_Muara_Plantau,,,,115.001,-1.939,,,
generator,PLTD_Bundar,,,,114.93,-1.478,,,
generator,PLTD_Merawan_Lama,,,,114.884,-1.451,,,
generator,PLTD_Babai,,,,114.836,-1.954,,,
generator,PLTD_Mangkatip,,,,114.851,-2.224,,,
generator,PLTD_Teluk_Betung,,,,114.863,-1.978,,,
generator,PLTD_Rangga_Ilung,,,,114.871,-2.34,,,
generator,PLTD_Damparan,,,,114.868,-2.138,,,
generator,PLTD_Benangin,,,,115.088,-0.978,,,
generator,PLTD_Tumpung_Laung,,,,114.816,-1.321,,,
generator,PLTD_Luwe_Hulu,,,,114.941,-0.795,,,
generator,PLTD_Montalat,,,,114.894,-1.323,,,
generator,PLTD_Kandui,,,,115.119,-1.257,,,
generator,PLTD_Sabuh,,,,114.976,-0.971,,,
generator,PLTD_Muara_Laung,,,,114.732,-0.599,,,
generator,PLTD_Tumbang_Lahung,,,,114.302,-0.695,,,
generator,PLTD_PT._Kaltimex_Energy_(Puruk_Cahu),,,,114.583,-0.583,,,
generator,PLTD_Karangan,,,,117.673,1.35,,,
generator,PLTBm_Karangan_DL,,,,117.673,1.35,,,
generator,PLTD_Pengadan,,,,117.673,1.35,,,
