node,type,location,lon,lat,p_nom,carrier,marginal_cost,owner,build_year,bus,voltage
PLTD Tontang,generator,Kalimantan Barat,112.223,-0.269,0.216,Oil,,PLN,1989,,
PLTD Kalan,generator,Kalimantan Barat,111.741,-0.336,0.17,Oil,,PLN,1998,,
PLTD Kayan,generator,Kalimantan Barat,111.69,-0.172,0.337,Oil,,PLN,1993,,
PLTD Kemangai,generator,Kalimantan Barat,112.71,-0.243,0.216,Oil,,PLN,1988,,
PLTD Sawai,generator,Kalimantan Barat,112.927,0.885,12.485,Oil,,PLN,N/A,,
PLTD Semitau,generator,Kalimantan Barat,111.96,0.543,4.748,Oil,,PLN,2003,,
PLTD Bunut,generator,Kalimantan Barat,112.655,0.528,0.57,Oil,,PLN,1986,,
PLTD Jongkong,generator,Kalimantan Barat,112.278,0.665,1.39,Oil,,PLN,1987,,
PLTD Embaloh,generator,Kalimantan Barat,112.602,0.831,0.601,Oil,,PLN,1995,,
PLTD Lanjak,generator,Kalimantan Barat,112.238,1.034,0.66,Oil,,PLN,2005,,
PLTD Tepuai,generator,Kalimantan Barat,112.303,0.37,3.99,Oil,,PLN,1994,,
PLTD Seberuang,generator,Kalimantan Barat,111.888,0.465,0.162,Oil,,PLN,1993,,
PLTD Nanga Erak,generator,Kalimantan Barat,113.154,0.372,0.57,Oil,,PLN,1990,,
PLTD Belikai,generator,Kalimantan Barat,112.137,0.33,0.3,Oil,,PLN,N/A,,
PLTD Kantuk,generator,Kalimantan Barat,110.607,0.124,0.14,Oil,,PLN,1987,,
PLTD Piasak,generator,Kalimantan Barat,112.723,0.659,0.222,Oil,,PLN,1996,,
PLTD Nibung,generator,Kalimantan Barat,112.178,0.334,0.08,Oil,,PLN,1996,,
PLTD Ujung Said,generator,Kalimantan Barat,112.378,0.67,0.496,Oil,,PLN,1984,,
PLTD Pulau Majang,generator,Kalimantan Barat,111.994,0.901,0.156,Oil,,PLN,1999,,
PLTD Ulak Pauk,generator,Kalimantan Barat,112.491,1.062,0.238,Oil,,PLN,1997,,
PLTD Badau,generator,Kalimantan Barat,111.903,1.044,2.085,Oil,,PLN,2015,,
PLTD Jasa,generator,Kalimantan Barat,111.148,1.004,0.306,Oil,,PLN,2015,,
PLTMH Serawak Energi BHD Badau (B),generator,Kalimantan Barat,111.872,1.033,0.32,Run_of_River,,IPP,N/A,,
PLTMH Serawak Energi BHD Balai Karangan (B),generator,Kalimantan Barat,110.355,0.988,1.12,Run_of_River,,IPP,N/A,,
PLTD Sewatama Semboja,generator,Kalimantan Barat,110.56,0.135,5,Oil,,Sewa,N/A,,
PLTD Sewatama Semboja 2,generator,Kalimantan Barat,110.561,0.135,0,Oil,,Sewa,N/A,,
PLTD Aggreko Semboja,generator,Kalimantan Barat,110.56,0.134,7,Oil,,Sewa,N/A,,
PLTD Koperasi IP Semboja,generator,Kalimantan Barat,110.561,0.134,0,Oil,,Sewa,N/A,,
PLTD ENSAS Sekadau,generator,N/A,110.89,0.021,8,Oil,,Sewa,N/A,,
PLTD Sewatama Menyurai 1,generator,Kalimantan Barat,111.511,0.086,0,Oil,,Sewa,N/A,,
PLTD Sewatama Menyurai 2,generator,Kalimantan Barat,111.511,0.086,0,Oil,,Sewa,N/A,,
PLTD Aggreko Menyurai,generator,Kalimantan Barat,111.511,0.085,7,Oil,,Sewa,N/A,,
PLTD Sewatama Pinoh,generator,Kalimantan Barat,111.707,-0.342,7,Oil,,Sewa,N/A,,
PLTD Makro SPE Pinoh,generator,Kalimantan Barat,111.707,-0.342,1,Oil,,Sewa,N/A,,
PLTD Sewatama Sibau,generator,Kalimantan Barat,112.927,0.885,0,Oil,,Sewa,N/A,,
PLTD Makro SPE Sibau,generator,Kalimantan Barat,112.927,0.885,0,Oil,,Sewa,N/A,,
PLTD Makro SPE Balai Karanga,generator,Kalimantan Barat,110.828,0.435,2,Oil,,Sewa,N/A,,
PLTD Makro SPE Semitau,generator,N/A,111.96,0.543,0,Oil,,Sewa,N/A,,
PLTD Makro SPE Kota Baru,generator,N/A,111.542,0.8,1,Oil,,Sewa,N/A,,
PLTD Makro SPE Tepuai,generator,N/A,112.303,0.37,0,Oil,,Sewa,N/A,,
PLTD Makro Sintang,generator,Kalimantan Barat,111.511,0.085,2,Oil,,Sewa,N/A,,
PLTD ULD Benua Riam,generator,Kalimantan Selatan,115.226,-3.094,0.18,Oil,,PLN,1995,,
PLTD ULD Rantau Bujur,generator,Kalimantan Selatan,115.199,-3.082,0.42,Oil,,PLN,1992,,
PLTD ULD Tumbang Jutuh,generator,Kalimantan Tengah,113.572,-1.289,2.1,Oil,,PLN,1994,,
PLTD ULD Tumbang Talaken,generator,Kalimantan Tengah,113.378,-1.361,1,Oil,,PLN,1994,,
PLTD ULD Tewah,generator,Kalimantan Tengah,112.122,-1.936,1.584,Oil,,PLN,1999,,
PLTD ULD Tumbang Miri,generator,Kalimantan Tengah,113.55,-0.916,1.06,Oil,,PLN,1985,,
PLTD ULD Tumbang Tambirah,generator,Kalimantan Tengah,113.823,-1.065,0.16,Oil,,PLN,1994,,
PLTD ULD Tumbang Miwan,generator,Kalimantan Tengah,113.872,-1.217,0.616,Oil,,PLN,1992,,
PLTD ULD Tumbang Kaman,generator,Kalimantan Tengah,113.093,-1.346,1.22,Oil,,PLN,1992,,
PLTD ULD Tumbang Hiran,generator,Kalimantan Tengah,112.691,-1.188,0.56,Oil,,PLN,1983,,
PLTD ULD Tumbang Senamang,generator,Kalimantan Tengah,112.425,-1.161,0.46,Oil,,PLN,1995,,
PLTD ULD Telaga,generator,Kalimantan Tengah,113.33,-2.421,0.12,Oil,,PLN,1990,,
PLTD Pagatan,generator,Kalimantan Tengah,113.33,-3.256,5,Oil,,PLN,1983,,
PLTD Telaga Pulang,generator,Kalimantan Tengah,112.27,-2.864,0.45,Oil,,PLN,1987,,
PLTD Mendawai,generator,Kalimantan Tengah,113.269,-2.989,1.352,Oil,,PLN,1994,,
PLTD Pangkut,generator,Kalimantan Tengah,111.92,-2.192,0.8,Oil,,PLN,1987,,
PLTD Kenambui,generator,Kalimantan Tengah,111.792,-2.476,0.12,Oil,,PLN,1994,,
PLTD Rantau Pulut,generator,Kalimantan Tengah,112.186,-2.048,0.96,Oil,,PLN,1986,,
PLTD Sukamandang,generator,Kalimantan Tengah,112.186,-2.048,1.1,Oil,,PLN,1995,,
PLTD Tumbang Manjul,generator,Kalimantan Tengah,111.928,-1.301,0.498,Oil,,PLN,1994,,
