" ,node,type,lon,lat,p_nom, "
" ,PLTD_Kuala_Jelai,generator,110.739,-2.985,0.92, "
" ,PLTD_Balai_Riam,generator,111.182,-2.992,0.54, "
" ,PLTD_Mentobi_Raya,generator,111.694,-1.986,1.7, "
" ,PLTD_Kudangan,generator,111.043,-1.61,0.29, "
" ,PLTD_Tapin_Bini,generator,111.317,-1.892,11.65, "
" ,PLTBg_Maju_Aneka_Sawit,generator,112.542,-2.38,1, "
" ,PLTBg_Sukajadi_Sawit_Mekar,generator,112.455,-2.399,2.4, "
" ,PLTBg_Unggul_Lestari,generator,112.598,-1.596,1, "
" ,PLTD_UPM_Parenggean,generator,112.653,-1.881,2.5, "
" ,PLTBm_Korintiga_Hutani,generator,111.824,-2.607,3, "
" ,PLTD_Gn._Batu_Besar,generator,116.294,-2.622,0.51, "
" ,PLTD_Sei_Bali,generator,116.407,-3.408,1.67, "
" ,PLTD_Semaras,generator,116.082,-3.823,0.15, "
" ,PLTD_Lontar,generator,116.064,-3.978,2.62, "
" ,PLTD_Kerasian,generator,116.203,-4.027,0.33, "
" ,PLTD_Tanjung_Seloka,generator,116.306,-3.9,1.75, "
" ,PLTD_Geronggang,generator,116.207,-2.857,1.85, "
" ,PLTD_Tanjung_Batu,generator,116.222,-3.005,1, "
" ,PLTD_Sampanahan,generator,116.187,-2.641,1.77, "
" ,PLTD_Sei_Durian,generator,116.162,-2.509,1.09, "
" ,PLTD_Sengayam,generator,115.995,-2.367,1.78, "
" ,PLTD_Marabatuan,generator,115.81,-4.369,0.3, "
" ,PLTD_Tanjung_Samalantakan,generator,116.415,-2.566,0.49, "
" ,PLTD_Bakau,generator,116.196,-2.443,0.46, "
" ,PLTD_Mulyaharja,generator,116.322,-2.35,0.43, "
" ,PLTD_Kerayaan,generator,116.207,-4.091,0.61, "
" ,PLTD_Kerumputan,generator,116.172,-4.049,0.46, "
" ,PLTD_Sewa_Kaltimex_Kotabaru,generator,116.212,-3.254,5.1, "
" ,PLTD_Timpah,generator,114.479,-1.719,1.108, "
" ,PLTD_Sebangau,generator,113.639,-3.148,0.44, "
" ,PLTD_Pujon,generator,114.364,-1.349,0.981, "
" ,PLTD_Sungai_Hanyu,generator,114.016,-0.927,0.38, "
" ,PLTD_Pendang,generator,114.874,-1.506,0.3, "
" ,PLTD_Tanjung_Jawa,generator,114.835,-1.565,0.22, "
" ,PLTD_Muara_Plantau,generator,115.001,-1.939,0.18, "
" ,PLTD_Bundar,generator,114.93,-1.478,0.12, "
" ,PLTD_Merawan_Lama,generator,114.884,-1.451,0.28, "
" ,PLTD_Babai,generator,114.836,-1.954,0.4, "
