nodeA,nodeB,bus0,bus1,voltage,cables,wires,frequency,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,lon0,lat0,lon1,lat1,wkt_srid_4326
PLTD Ketungau,,,,,,,,,,,,,111.62,0.357,,,
PLTD Tebidah,,,,,,,,,,,,,112.184,0.252,,,
PLTD Sinar Pekayau,,,,,,,,,,,,,111.082,0.333,,,
PLTD Nanga Lebang,,,,,,,,,,,,,111.644,0.218,,,
PLTD Sidomulyo Pinoh,,,,,,,,,,,,,111.707,-0.342,,,
PLTD Kota Baru,,,,,,,,,,,,,111.542,-0.8,,,
PLTD Serawai,,,,,,,,,,,,,112.439,-0.331,,,
PLTD Manukung,,,,,,,,,,,,,112.227,-0.418,,,
PLTD Nanga Ella,,,,,,,,,,,,,112.003,-0.398,,,
PLTD Nanga Sayan,,,,,,,,,,,,,111.676,-0.714,,,
PLTD Bora,,,,,,,,,,,,,111.764,-0.628,,,
PLTMH Bora,,,,,,,,,,,,,111.775,-0.633,,,
PLTD Tontang,,,,,,,,,,,,,112.223,-0.269,,,
PLTD Kalan,,,,,,,,,,,,,111.741,-0.336,,,
PLTD Kayan,,,,,,,,,,,,,111.69,-0.172,,,
PLTD Kemangai,,,,,,,,,,,,,112.71,-0.243,,,
PLTD Sawai,,,,,,,,,,,,,112.927,0.885,,,
PLTD Semitau,,,,,,,,,,,,,111.96,0.543,,,
PLTD Bunut,,,,,,,,,,,,,112.655,0.528,,,
PLTD Jongkong,,,,,,,,,,,,,112.278,0.665,,,
PLTD Embaloh,,,,,,,,,,,,,112.602,0.831,,,
PLTD Lanjak,,,,,,,,,,,,,112.238,1.034,,,
PLTD Tepuai,,,,,,,,,,,,,112.303,0.37,,,
PLTD Seberuang,,,,,,,,,,,,,111.888,0.465,,,
PLTD Nanga Erak,,,,,,,,,,,,,113.154,0.372,,,
PLTD Belikai,,,,,,,,,,,,,112.137,0.33,,,
PLTD Kantuk,,,,,,,,,,,,,110.607,0.124,,,
PLTD Piasak,,,,,,,,,,,,,112.723,0.659,,,
PLTD Nibung,,,,,,,,,,,,,112.178,0.334,,,
PLTD Ujung Said,,,,,,,,,,,,,112.378,0.67,,,
PLTD Pulau Majang,,,,,,,,,,,,,111.994,0.901,,,
PLTD Ulak Pauk,,,,,,,,,,,,,112.491,1.062,,,
PLTD Badau,,,,,,,,,,,,,111.903,1.044,,,
PLTD Jasa,,,,,,,,,,,,,111.148,1.004,,,
PLTMH Serawak Energi BHD Badau (B),,,,,,,,,,,,,111.872,1.033,,,
PLTMH Serawak Energi BHD Balai Karangan (B),,,,,,,,,,,,,110.355,0.988,,,
PLTD Sewatama Semboja,,,,,,,,,,,,,110.56,0.135,,,
PLTD Sewatama Semboja 2,,,,,,,,,,,,,110.561,0.135,,,
PLTD Aggreko Semboja,,,,,,,,,,,,,110.56,0.134,,,
PLTD Koperasi IP Semboja,,,,,,,,,,,,,110.561,0.134,,,
PLTD ENSAS Sekadau,,,,,,,,,,,,,110.89,0.021,,,
PLTD Sewatama Menyurai 1,,,,,,,,,,,,,111.511,0.086,,,
PLTD Sewatama Menyurai 2,,,,,,,,,,,,,111.511,0.086,,,
PLTD Aggreko Menyurai,,,,,,,,,,,,,111.511,0.085,,,
PLTD Sewatama Pinoh,,,,,,,,,,,,,111.707,-0.342,,,
PLTD Makro SPE Pinoh,,,,,,,,,,,,,111.707,-0.342,,,
PLTD Sewatama Sibau,,,,,,,,,,,,,112.927,0.885,,,
PLTD Makro SPE Sibau,,,,,,,,,,,,,112.927,0.885,,,
PLTD Makro SPE Balai Karanga,,,,,,,,,,,,,110.828,0.435,,,
PLTD Makro SPE Semitau,,,,,,,,,,,,,111.96,0.543,,,
PLTD Makro SPE Kota Baru,,,,,,,,,,,,,111.542,0.8,,,
PLTD Makro SPE Tepuai,,,,,,,,,,,,,112.303,0.37,,,
PLTD Makro Sintang,,,,,,,,,,,,,111.511,0.085,,,
PLTD ULD Benua Riam,,,,,,,,,,,,,115.226,-3.094,,,
PLTD ULD Rantau Bujur,,,,,,,,,,,,,115.199,-3.082,,,
PLTD ULD Tumbang Jutuh,,,,,,,,,,,,,113.572,-1.289,,,
PLTD ULD Tumbang Talaken,,,,,,,,,,,,,113.378,-1.361,,,
PLTD ULD Tewah,,,,,,,,,,,,,112.122,-1.936,,,
PLTD ULD Tumbang Miri,,,,,,,,,,,,,113.55,-0.916,,,
PLTD ULD Tumbang Tambirah,,,,,,,,,,,,,113.823,-1.065,,,
PLTD ULD Tumbang Miwan,,,,,,,,,,,,,113.872,-1.217,,,
PLTD ULD Tumbang Kaman,,,,,,,,,,,,,113.093,-1.346,,,
PLTD ULD Tumbang Hiran,,,,,,,,,,,,,112.691,-1.188,,,
PLTD ULD Tumbang Senamang,,,,,,,,,,,,,112.425,-1.161,,,
