" ,node,type,node1,lon,lat,length_m, "
" ,PLTD_Malinau_Kaltimex,generator,,116.611,3.541,, "
" ,PLTD_KTT_Pemkab,generator,,116.933,3.608,, "
" ,PLTD_KTT,generator,,116.933,3.608,, "
" ,PLTD_Selor_Sewatama,generator,,117.386,2.832,, "
" ,PLTD_Selor_Makro,generator,,117.386,2.832,, "
" ,PLTD_Long_Peso,generator,,116.781,2.691,, "
" ,PLTD_Mara,generator,,116.239,2.75,, "
" ,PLTD_Long_Beluah,generator,,116.121,2.738,, "
" ,PLTD_Nunukan,generator,,117.64,4.134,, "
" ,PLTD_Nunukan_Pemkab,generator,,117.64,4.134,, "
" ,PLTD_Sebatik,generator,,117.909,4.147,, "
" ,PLTS_Sebatik,generator,,117.909,4.147,, "
" ,PLTD_Tanjung_Batu,generator,,118.092,2.278,, "
" ,PLTD_Talisayan_Pemkab,generator,,118.177,1.605,, "
" ,PLTD_Talisayan,generator,,118.177,1.605,, "
" ,PLTD_Talisayan_PT_IPB,generator,,118.177,1.605,, "
" ,PLTBm_Talisayan_DL,generator,,118.177,1.605,, "
" ,PLTD_Gunung_Sari,generator,,117.116,2.185,, "
" ,PLTBm_Gunung_Sari_HHM,generator,,117.117,2.185,, "
" ,PLTD_Derawan,generator,,118.243,2.286,, "
" ,PLTS_Derawan,generator,,118.243,2.286,, "
" ,PLTD_Batu_Putih,generator,,118.446,1.352,, "
" ,PLTD_Merasa,generator,,117.251,1.806,, "
" ,PLTD_Tubaan,generator,,117.859,1.818,, "
" ,PLTD_Krayan,generator,,115.7,3.883,, "
" ,PLTMH_Krayan_Pemkab,generator,,115.7,3.883,, "
" ,PLTMH_Krayan,generator,,115.7,3.883,, "
" ,PLTD_Seimenggaris,generator,,117.341,4.188,, "
" ,PLTS_Seimenggaris_ESDM,generator,,117.341,4.188,, "
" ,PLTD_Sebuku,generator,,117.023,4.063,, "
" ,PLTS_Sebuku_ESDM,generator,,117.023,4.063,, "
" ,PLTD_Tulin_Onsoi,generator,,116.992,4.18,, "
" ,PLTS_Tulin_Onsoi_ESDM,generator,,116.992,4.18,, "
" ,PLTS_Sebatik_ESDM,generator,,117.802,4.153,, "
" ,PLTD_Lumbis_Ogong,generator,,116.548,3.93,, "
" ,PLTS_Lumbis_Ogong_ESDM,generator,,116.548,3.93,, "
" ,PLTD_Kayan_Hulu,generator,,114.91,1.785,, "
" ,PLTS_Kayan_Hulu_ESDM,generator,,117.595,3.304,, "
" ,PLTD_Tarakan,generator,,117.595,3.304,, "
" ,PLTD_Sewa_Tarakan,generator,,117.595,3.303,, "
" ,PLTG_Trisakti,generator,,114.57,-3.31,, "
" ,PLTMG_Bangkanai_Blok_#01,generator,,115.137,-0.622,, "
" ,PLTMG_Bangkanai_Blok_#02,generator,,115.137,-0.623,, "
" ,PLTMG_Bangkanai_Blok_#03,generator,,115.137,-0.623,, "
" ,PLTMG_Bangkanai_Blok_#04,generator,,115.137,-0.623,, "
" ,PLTU_Asam_Asam_#01,generator,,115.105,-3.927,, "
" ,PLTU_Asam_Asam_#02,generator,,115.106,-3.926,, "
" ,PLTU_Asam_Asam_#03,generator,,115.106,-3.926,, "
" ,PLTU_Asam_Asam_#04,generator,,115.106,-3.926,, "
" ,PLTU_Pulang_Pisau_#01,generator,,114.209,-2.823,, "
" ,PLTU_Pulang_Pisau_#02,generator,,114.209,-2.823,, "
" ,PLTMG_Bontang_Wartsila_#01,generator,,117.454,0.137,, "
